customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00014,Male,0,No,No,55,No,No phone service,DSL,Yes,No,Yes,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),60.31,3301.57,No
CUST-00015,Male,0,Yes,Yes,52,No,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,Yes,Two year,Yes,Electronic check,97.1,5078.79,No
CUST-00016,Female,1,Yes,Yes,57,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,82.36,4689.26,Yes
CUST-00017,Male,1,Yes,No,37,Yes,No,No,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,54.73,2027.07,No
CUST-00018,Male,0,Yes,Yes,9,Yes,Yes,No,No,No,No,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),38.39,376.73,No
CUST-00019,Female,0,Yes,No,61,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,100.74,6118.11,Yes
CUST-00020,Female,0,No,Yes,32,Yes,No,DSL,Yes,No,No,No,No internet service,Yes,One year,No,Mailed check,47.54,1500.28,No
CUST-00021,Female,0,Yes,No,36,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No internet service,Yes,One year,Yes,Electronic check,65.61,2355.43,No
CUST-00022,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),108.24,2919.68,No
CUST-00023,Male,0,No,No,13,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),67.57,931.25,No
CUST-00024,Female,0,Yes,Yes,67,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,45.58,3036.1,No
CUST-00025,Male,1,No,Yes,57,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),113.09,6420.05,Yes
CUST-00026,Female,0,No,No,47,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,105.06,4919.1,Yes
CUST-00027,Female,0,Yes,Yes,29,Yes,No,No,No internet service,No,No,Yes,Yes,No,One year,Yes,Electronic check,46.12,1342.12,No
CUST-00028,Female,0,No,No,60,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),101.35,6090.84,Yes
CUST-00029,Female,1,No,Yes,39,Yes,No,Fiber optic,No,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,110.67,4301.99,Yes
CUST-00030,Male,0,No,No,32,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),102.34,3275.3,No
CUST-00031,Female,0,No,No,32,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.17,,Yes
CUST-00032,Female,0,No,Yes,16,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,No,Credit card (automatic),56.53,905.18,No
CUST-00033,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,Yes,Two year,Yes,Electronic check,75.04,456.66,Yes
CUST-00034,Female,0,Yes,Yes,40,Yes,No,DSL,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,97.71,3946.18,Yes
CUST-00035,Male,0,No,Yes,64,Yes,No,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Electronic check,55.16,3516.28,Yes
CUST-00036,Male,0,No,No,4,Yes,No,No,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),33.58,119.05,Yes
CUST-00037,Female,0,No,Yes,62,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),127.33,7885.07,No
CUST-00038,Male,1,No,No,60,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),102.09,6114.84,Yes
CUST-00039,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),84.42,1651.98,No
CUST-00040,Male,0,No,No,46,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.54,4903.6,Yes
CUST-00041,Male,0,No,No,12,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.49,742.22,Yes
CUST-00042,Female,0,Yes,Yes,55,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),93.77,5153.63,No
CUST-00043,Male,0,Yes,No,51,Yes,Yes,No,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,46.58,2380.53,No
CUST-00044,Male,0,No,No,25,Yes,No,DSL,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),73.6,1845.16,No
CUST-00045,Female,0,Yes,Yes,4,Yes,No,DSL,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),82.82,304.96,Yes
CUST-00046,Male,1,No,Yes,70,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,Yes,One year,Yes,Credit card (automatic),90.27,6324.67,No
CUST-00047,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),83.3,2676.77,No
CUST-00048,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,One year,Yes,Electronic check,99.24,6418.66,Yes
CUST-00049,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),97.16,4790.1,No
CUST-00050,Male,1,No,Yes,56,No,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,111.6,6224.88,Yes
CUST-00051,Male,0,No,No,55,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,One year,Yes,Bank transfer (automatic),84.77,4639.59,Yes
CUST-00052,Male,0,No,No,14,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,67.4,947.64,Yes
CUST-00053,Male,1,No,No,26,Yes,Yes,DSL,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),91.29,2384.23,No
CUST-00054,Male,1,No,No,34,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,123.52,4215.23,Yes
CUST-00055,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,34.7,1260.42,Yes
CUST-00056,Female,0,No,Yes,3,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,86.53,249.2,No
CUST-00057,Female,0,No,No,39,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),72.52,2830.45,Yes
CUST-00058,Male,1,Yes,Yes,11,No,No phone service,No,No,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,40.59,440.16,No
CUST-00059,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,99.61,5382.43,Yes
CUST-00060,Female,0,Yes,Yes,49,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,108.38,5311.99,No
CUST-00061,Male,0,No,No,67,Yes,No,DSL,Yes,No internet service,No,No internet service,No,No,One year,No,Electronic check,59.38,3968.36,No
CUST-00062,Male,0,No,Yes,54,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),91.39,4928.12,Yes
CUST-00063,Male,0,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Two year,Yes,Mailed check,89.04,2278.0,No
CUST-00064,Female,0,No,Yes,70,Yes,Yes,Fiber optic,No,Yes,No,No,No,No internet service,Month-to-month,No,Electronic check,102.68,7204.2,No
CUST-00065,Male,0,Yes,Yes,29,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,65.19,1896.46,No
CUST-00066,Female,1,No,No,23,Yes,No,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,119.97,2713.18,Yes
CUST-00067,Female,1,No,Yes,66,Yes,No,DSL,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,70.28999999999999,4655.0,No
CUST-00068,Male,0,No,No,27,Yes,No,No,Yes,No,No internet service,No,Yes,No,Two year,Yes,Electronic check,36.28,978.5,No
CUST-00069,Male,0,No,No,5,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,57.63,269.41,Yes
CUST-00070,Female,0,Yes,No,34,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No,One year,Yes,Electronic check,77.19,2603.95,Yes
CUST-00071,Male,0,Yes,No,58,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,71.2,4115.84,No
CUST-00072,Male,0,No,No,13,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),39.79,498.64,No
CUST-00073,Female,1,No,No,33,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,104.0,3416.06,Yes
CUST-00074,Female,0,Yes,No,9,Yes,No,DSL,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),61.98,591.83,Yes
CUST-00075,Male,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),100.45,5029.92,Yes
CUST-00076,Male,1,Yes,No,34,Yes,Yes,No,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),39.43,1381.34,No
CUST-00077,Female,0,Yes,Yes,24,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,134.34,3228.67,Yes
CUST-00078,Male,0,Yes,Yes,16,Yes,Yes,No,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),38.58,628.87,Yes
CUST-00079,Male,0,Yes,No,41,Yes,Yes,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),61.67,2510.86,No
CUST-00080,Male,0,No,No,48,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),91.57,4392.0,No
CUST-00081,Male,0,Yes,No,68,Yes,Yes,No,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),44.94,3054.29,No
CUST-00082,Female,0,Yes,No,31,No,No phone service,No,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,44.97,1406.47,Yes
CUST-00083,Female,1,Yes,Yes,11,Yes,No,DSL,No,No,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),71.74,788.15,No
CUST-00084,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,One year,No,Credit card (automatic),96.19,5778.43,No
CUST-00085,Male,0,No,No,45,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,49.86,2250.01,Yes
CUST-00086,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,No,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.31,5007.75,No
CUST-00087,Male,0,No,Yes,7,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),129.0,894.89,No
CUST-00088,Female,0,No,Yes,22,Yes,No,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,41.71,904.24,Yes
CUST-00089,Male,0,Yes,No,56,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),73.21000000000001,4121.41,No
CUST-00090,Female,0,No,No,60,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,110.7,6635.95,Yes
CUST-00091,Female,0,No,No,31,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),140.0,4346.58,Yes
CUST-00092,Female,1,Yes,Yes,58,Yes,Yes,DSL,No internet service,No internet service,No,No,No internet service,No,One year,Yes,Electronic check,44.94,2603.39,Yes
CUST-00093,Male,0,Yes,Yes,61,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),63.71,3907.56,Yes
CUST-00094,Female,0,No,No,28,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,87.39,2407.16,Yes
CUST-00095,Male,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),77.28,5029.26,Yes
CUST-00096,Male,1,Yes,No,21,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,96.43,1999.93,Yes
CUST-00097,Male,0,No,Yes,17,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,123.5,2107.31,No
CUST-00098,Female,0,Yes,Yes,49,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,84.78,4151.29,No
CUST-00099,Male,0,No,No,46,Yes,No,No,No internet service,Yes,No,No,No,No internet service,Month-to-month,No,Electronic check,34.85,1573.53,Yes
CUST-00100,Male,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),101.25,1019.25,Yes
CUST-00101,Female,0,Yes,No,60,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,60.14,3612.88,No
CUST-00102,Male,0,No,Yes,14,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,116.1,1620.78,Yes
CUST-00103,Male,0,No,Yes,58,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),125.07,7251.97,Yes
CUST-00104,Female,0,No,No,0,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,108.09,0.0,Yes
CUST-00105,Male,1,Yes,Yes,58,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,122.15,7108.26,Yes
CUST-00106,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),66.4,3778.51,Yes
CUST-00107,Female,0,No,No,56,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,114.35,6423.86,Yes
CUST-00108,Male,0,No,No,48,Yes,No,DSL,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.69,4064.37,No
CUST-00109,Female,0,No,Yes,34,Yes,No,DSL,No,No,Yes,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),64.17,2207.69,No
CUST-00110,Female,0,No,No,51,Yes,No,DSL,No internet service,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,50.54,2572.84,No
CUST-00111,Female,0,Yes,No,20,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),101.41,2014.87,Yes
CUST-00112,Female,1,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),107.28,5985.73,Yes
CUST-00113,Female,1,Yes,Yes,40,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Two year,Yes,Mailed check,87.78,3510.52,Yes
CUST-00114,Male,1,Yes,Yes,33,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.36,2636.02,No
CUST-00115,Female,1,Yes,Yes,36,Yes,No,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,One year,No,Mailed check,99.75,3619.09,Yes
CUST-00116,Female,1,No,Yes,41,Yes,No,DSL,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),58.82,2394.2,No
CUST-00117,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),86.57,159.34,Yes
CUST-00118,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,78.93,800.92,Yes
CUST-00119,Female,0,No,Yes,17,Yes,Yes,DSL,No,No,No,Yes,Yes,No internet service,One year,Yes,Mailed check,72.14,1250.1,No
CUST-00120,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,109.32,889.18,Yes
CUST-00121,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),140.0,4501.17,Yes
CUST-00122,Female,1,No,Yes,48,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),121.4,5825.6,Yes
CUST-00123,Female,0,Yes,Yes,47,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,One year,Yes,Electronic check,65.81,3091.75,No
CUST-00124,Male,0,No,No,34,Yes,No,No,Yes,No,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,41.71,1458.38,No
CUST-00125,Male,0,No,No,62,Yes,No,No,No,No internet service,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),30.46,1922.33,No
CUST-00126,Female,0,Yes,No,41,Yes,No,No,No,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,36.72,1519.8,No
CUST-00127,Male,0,No,No,5,Yes,No,DSL,Yes,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,75.97999999999999,402.03,Yes
CUST-00128,Female,1,No,No,55,No,No phone service,Fiber optic,No,No,No internet service,Yes,No,No,One year,No,Electronic check,58.01,3207.72,Yes
CUST-00129,Female,0,No,No,41,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.59,3403.07,No
CUST-00130,Female,0,No,No,46,Yes,Yes,No,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,46.3,2129.01,Yes
CUST-00131,Female,0,No,Yes,41,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,One year,No,Credit card (automatic),99.65,4115.59,No
CUST-00132,Male,0,No,No,40,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.83,2927.61,Yes
CUST-00133,Female,0,No,No,6,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.12,425.45,No
CUST-00134,Male,0,Yes,Yes,40,No,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),87.88,3545.38,Yes
CUST-00135,Female,0,No,Yes,58,Yes,No,No,No,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,29.9,1741.59,No
CUST-00136,Male,0,No,No,22,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,91.17,2020.85,Yes
CUST-00137,Male,1,No,No,44,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),83.57,3684.57,No
CUST-00138,Female,0,Yes,Yes,2,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,98.66,208.14,Yes
CUST-00139,Female,1,Yes,Yes,25,Yes,No,No,No,No,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),31.35,796.0,No
CUST-00140,Male,0,Yes,Yes,31,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,Yes,One year,No,Bank transfer (automatic),78.66,2464.45,Yes
CUST-00141,Male,0,Yes,No,71,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,105.48,7517.68,No
CUST-00142,Female,1,Yes,Yes,15,Yes,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),102.63,1530.43,Yes
CUST-00143,Male,0,Yes,No,20,Yes,Yes,No,No internet service,No,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),41.91,845.31,No
CUST-00144,Female,0,Yes,No,29,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,60.96,1793.26,Yes
CUST-00145,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,110.21,7932.49,Yes
CUST-00146,Male,0,Yes,Yes,62,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,No,Two year,No,Credit card (automatic),70.36,4336.14,No
CUST-00147,Female,0,No,Yes,2,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,88.59,159.01,No
CUST-00148,Female,1,Yes,Yes,17,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,87.62,1472.75,Yes
CUST-00149,Female,1,Yes,No,59,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,74.47999999999999,4385.16,No
CUST-00150,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,96.9,372.68,Yes
CUST-00151,Female,0,No,Yes,62,Yes,No,DSL,No,No,No internet service,No,Yes,No,One year,No,Electronic check,43.19,2698.36,No
CUST-00152,Female,0,Yes,Yes,20,Yes,No,No,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),48.39,962.26,Yes
CUST-00153,Male,0,No,No,66,Yes,No,No,Yes,No internet service,No internet service,Yes,No,No internet service,Two year,No,Credit card (automatic),26.03,1743.2,No
CUST-00154,Male,0,No,No,21,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),102.78,2135.77,No
CUST-00155,Female,1,Yes,Yes,31,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,116.64,3608.77,Yes
CUST-00156,Female,1,No,No,48,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No,No,Two year,No,Mailed check,47.53,2283.53,No
CUST-00157,Male,0,Yes,Yes,9,Yes,Yes,No,No,Yes,No internet service,No,Yes,No,Two year,Yes,Electronic check,43.01,403.3,No
CUST-00158,Female,0,Yes,No,40,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,82.51,,Yes
CUST-00159,Female,0,Yes,Yes,36,Yes,No,DSL,No,No,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),54.6,1954.83,No
CUST-00160,Male,0,Yes,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,No,Electronic check,35.34,2034.25,Yes
CUST-00161,Female,0,No,Yes,72,Yes,No,DSL,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),75.18,5379.32,No
CUST-00162,Male,0,No,No,48,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,95.48,4600.47,Yes
CUST-00163,Male,0,No,No,29,Yes,Yes,DSL,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),95.97,2756.31,Yes
CUST-00164,Male,0,Yes,No,29,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),86.41,2514.82,Yes
CUST-00165,Female,1,No,No,30,Yes,No,DSL,No,No,No internet service,No internet service,No,No,One year,No,Bank transfer (automatic),64.32,1952.18,No
CUST-00166,Female,0,Yes,No,59,Yes,No,DSL,No,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),68.38,4052.16,Yes
CUST-00167,Female,1,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),100.69,2283.09,Yes
CUST-00168,Male,0,Yes,No,12,Yes,No,No,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),42.67,503.1,No
